Date,Hour,Minute,Permit Type,Spaces Left
2023-09-25,14,26,Gold Permit,14
2023-09-25,14,26,Gold Permit,0
2023-09-25,14,26,Gold Permit,0
2023-09-25,14,26,Orange Permit,9
2023-09-25,14,26,Orange Permit,3
2023-09-25,14,26,Purple Permit,12
2023-09-25,14,26,Pay-By-Space,28
2023-09-25,14,30,Gold Permit,15
2023-09-25,14,30,Gold Permit,0
2023-09-25,14,30,Gold Permit,0
2023-09-25,14,30,Orange Permit,7
2023-09-25,14,30,Orange Permit,3
2023-09-25,14,30,Purple Permit,12
2023-09-25,14,30,Pay-By-Space,32
2023-09-25,14,30,Gold Permit,15
2023-09-25,14,30,Gold Permit,0
2023-09-25,14,30,Gold Permit,0
2023-09-25,14,30,Orange Permit,7
2023-09-25,14,30,Orange Permit,3
2023-09-25,14,30,Purple Permit,12
2023-09-25,14,30,Pay-By-Space,32
2023-09-25,14,33,Gold Permit,16
2023-09-25,14,33,Gold Permit,0
2023-09-25,14,33,Gold Permit,0
2023-09-25,14,33,Orange Permit,9
2023-09-25,14,33,Orange Permit,5
2023-09-25,14,33,Purple Permit,12
2023-09-25,14,33,Pay-By-Space,28
2023-09-25,14,34,Gold Permit,17
2023-09-25,14,34,Gold Permit,0
2023-09-25,14,34,Gold Permit,0
2023-09-25,14,34,Orange Permit,6
2023-09-25,14,34,Orange Permit,8
2023-09-25,14,34,Purple Permit,11
2023-09-25,14,34,Pay-By-Space,28
2023-09-25,14,35,Gold Permit,17
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Orange Permit,6
2023-09-25,14,35,Orange Permit,8
2023-09-25,14,35,Purple Permit,11
2023-09-25,14,35,Pay-By-Space,28
2023-09-25,14,35,Gold Permit,17
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Orange Permit,6
2023-09-25,14,35,Orange Permit,8
2023-09-25,14,35,Purple Permit,11
2023-09-25,14,35,Pay-By-Space,28
2023-09-25,14,35,Gold Permit,17
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Gold Permit,0
2023-09-25,14,35,Orange Permit,6
2023-09-25,14,35,Orange Permit,8
2023-09-25,14,35,Purple Permit,11
2023-09-25,14,35,Pay-By-Space,28
2023-09-25,14,36,Gold Permit,18
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Orange Permit,5
2023-09-25,14,36,Orange Permit,3
2023-09-25,14,36,Purple Permit,12
2023-09-25,14,36,Pay-By-Space,27
2023-09-25,14,36,Gold Permit,19
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Orange Permit,6
2023-09-25,14,36,Orange Permit,4
2023-09-25,14,36,Purple Permit,11
2023-09-25,14,36,Pay-By-Space,29
2023-09-25,14,36,Gold Permit,19
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Gold Permit,0
2023-09-25,14,36,Orange Permit,6
2023-09-25,14,36,Orange Permit,4
2023-09-25,14,36,Purple Permit,11
2023-09-25,14,36,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,37,Gold Permit,19
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Gold Permit,0
2023-09-25,14,37,Orange Permit,6
2023-09-25,14,37,Orange Permit,4
2023-09-25,14,37,Purple Permit,11
2023-09-25,14,37,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,38,Gold Permit,19
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Gold Permit,0
2023-09-25,14,38,Orange Permit,6
2023-09-25,14,38,Orange Permit,4
2023-09-25,14,38,Purple Permit,11
2023-09-25,14,38,Pay-By-Space,29
2023-09-25,14,39,Gold Permit,19
2023-09-25,14,39,Gold Permit,0
2023-09-25,14,39,Gold Permit,0
2023-09-25,14,39,Orange Permit,6
2023-09-25,14,39,Orange Permit,4
2023-09-25,14,39,Purple Permit,11
2023-09-25,14,39,Pay-By-Space,29
2023-09-25,14,43,Gold Permit,21
2023-09-25,14,43,Gold Permit,0
2023-09-25,14,43,Gold Permit,0
